name,sku,selling_price,original_price,color,category,breadcrumbs,description,average_rating,reviews_count,description_preprocess,description_sentiment_nltk,description_sentiment_textblob,description_sentiment_textblob_labels
Beach Shorts,FJ5089,40,,Black,Clothing,Women/Clothing,Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.,4.5,35,splashing surf . making memory friend . beach day best day . short made stretchy woven fabric . elastic waistband feature adidas logo brings sporty look day beach .,1,1.0,Positive
Five Ten Kestrel Lace Mountain Bike Shoes,BC0770,150,,Grey,Shoes,Women/Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.,4.8,4,lace get . five ten kestrel lace mountain bike shoe offer efficient pedal power low-profile style . wide platform compatible clipless pedal offer high-friction grip bike . 'll find find comfort versatility extended trail ride afterwork hot lap alike .,1,0.0625,Positive
Mexico Away Jersey,GC7946,70,,White,Clothing,Kids/Clothing,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.",4.9,42,"clean crisp , adidas mexico away jersey junior display design began life artist 's studio . soft , quick-drying fabric keep comfortable . standing chest , team badge let fan show pride soccer team .",1,0.2791666666666667,Positive
Five Ten Hiangle Pro Competition Climbing Shoes,FV4744,160,,Black,Shoes,Five Ten/Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",3.7,7,"hiangle pro take classic shape original hiangle addition seamless outsole wrapping around toe , allowing maximum rubber contact tackling challenging boulder problem .",1,0.3283333333333333,Positive
Mesh Broken-Stripe Polo Shirt,GM0239,65,,Blue,Clothing,Men/Clothing,"Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste.",4.7,11,"step tee relaxed . adidas golf polo shirt let focus accurate drive putt . four-way stretch match body 's natural movement . breathable fabric keep comfortable spring , summer fall . recycled material one step towards reducing plastic waste .",1,0.17500000000000004,Positive
EQT Spikeless Golf Shoes,FX7449,110,,Grey,Shoes,Women/Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.",4.9,30,"put comfort first . adidas spikeless golf shoe combine bounce midsole boost heel lightweight , responsive feel help convert bogie 's birdie . repel water keep foot dry wet fairway . versatile rubber outsole ensures easy transition final putt cold drink clubhouse . recycled material one step towards reducing plastic waste .",1,-0.040476190476190464,Negative
Adicross Hybrid Shorts,GM5505,80,,Black,Clothing,Men/Clothing,"On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next.",4.5,17,"golf course , comfort essential component keeping concentration locked shot . stay focused temperature heat ultra-lightweight adidas short . move naturally round first tee 18th green . head clubhouse feeling ready whatever come next .",1,0.02142857142857143,Positive
Tiro 21 Windbreaker,GP4975,60,,Black,Clothing,Kids/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.

This product is made with recycled content as part of our ambition to end plastic waste.",4.5,16,"ca n't always force nature soccer training . intensity drop wind pick , junior ' adidas tiro 21 windbreaker covered . moisture-absorbing aeroready mesh lining keep dry . streamlined silhouette ensures nothing get way ball skill touchline . product made recycled content part ambition end plastic waste .",0,-0.13333333333333333,Negative
Classic 3-Stripes Swimsuit,FS3923,40,,Black,Clothing,Women/Clothing,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.",4.5,35,"show concern health ocean increase fitness pool . adidas swimsuit designed comfort support . soft fully lined , 's made yarn spun recycled material . iconic 3-stripes tape side give sporty classic look .",1,0.16666666666666666,Positive
Tiro 21 Windbreaker,GP4967,65,,Black,Clothing,Men/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the breeze picks up, this adidas Tiro 21 Windbreaker has you covered on the sidelines. Moisture-absorbing AEROREADY and a mesh lining help keep you dry while you're sheltering. The streamlined silhouette means you can stay mobile while you're waiting for the gusts to die down.",4.8,66,"ca n't always force nature soccer training . intensity drop breeze pick , adidas tiro 21 windbreaker covered sideline . moisture-absorbing aeroready mesh lining help keep dry 're sheltering . streamlined silhouette mean stay mobile 're waiting gust die .",1,-0.11111111111111112,Negative
