product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,brand2,description_preprocess,description_sentiment_nltk,description_sentiment_textblob,description_sentiment_textblob_labels
Women's adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,7499,50,Adidas Adidas ORIGINALS,"Channeling the streamlined look of an '80s racer, these shoes are updated with modern features. The foot-hugging adidas Primeknit upper offers a soft, breathable feel. The Boost midsole provides responsive comfort accented with a contrast-color EVA heel plug. Embroidered details add a distinctive finish.",4.8,41,Adidas,"channeling streamlined look '80s racer , shoe updated modern feature . foot-hugging adidas primeknit upper offer soft , breathable feel . boost midsole provides responsive comfort accented contrast-color eva heel plug . embroidered detail add distinctive finish .",1,0.1,Positive
Women's adidas Originals Sleek Shoes,G27341,7599,3799,50,Adidas ORIGINALS,"A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles.",3.3,24,Adidas,"modern take adidas sport heritage , tailored woman . perforated 3-stripes leather upper shoe offer sleek look mirror iconic tennis style .",0,0.2333333333333333,Positive
Women's adidas Swim Puka Slippers,CM0081,999,599,40,Adidas CORE / NEO,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.6,37,Adidas,adidas puka slipper woman 's come slim strap great fit . feature performance logo footbed textured rubber outsole give unique comfort .,1,0.525,Positive
Women's adidas Sport Inspired Questar Ride Shoes,B44832,6999,3499,50,Adidas CORE / NEO,"Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride.",4.1,35,Adidas,"inspired modern tech runner , woman 's shoe step unexpected style . 're built breathable knit upper , heel offer extra support achilles-hugging design . cushioned midsole provides soft landing every stride .",1,0.08333333333333333,Positive
Women's adidas Originals Taekwondo Shoes,D98205,7999,3999,50,Adidas ORIGINALS,"This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole.",3.5,72,Adidas,"design inspired vintage taekwondo style originally worn perfect high kick rapid foot strike . canvas shoe make streetwear fashion statement chic , foot-hugging slip-on . 're shaped narrow , women's-specific fit ride soft gum rubber outsole .",1,0.30583333333333335,Positive
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,B75586,4799,1920,60,Adidas CORE / NEO,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",1.0,45,Adidas,"refine interval training woman 's versatile running-inspired shoe . featuring lightweight mesh synthetic upper , combine responsive midsole cushioning soft collar reduces ankle pressure .",1,0.05,Positive
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,CG4051,4799,2399,50,Adidas CORE / NEO,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",4.4,2,Adidas,"refine interval training woman 's versatile running-inspired shoe . featuring lightweight mesh synthetic upper , combine responsive midsole cushioning soft collar reduces ankle pressure .",1,0.05,Positive
Women's adidas Swim Puka Slippers,CM0080,999,599,40,Adidas CORE / NEO,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.,2.8,7,Adidas,adidas puka slipper woman 's come slim strap great fit . feature performance logo footbed textured rubber outsole give unique comfort .,1,0.525,Positive
WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,B75990,5599,2799,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",4.5,16,Adidas,"woman 's neutral running shoe get road goal . sandwich mesh upper offer lightweight breathability , seamless print overlay add support stable stride . midsole offer pillow-soft cloudfoam cushioning eas every stride .",1,0.07500000000000001,Positive
Men's adidas Originals Forest Grove Shoes,EE5761,6599,3959,40,Adidas ORIGINALS,"The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style.",4.0,39,Adidas,"forest grove brings back look adidas oregon running design '80s . favourite marathon training , distinctive look feel shock-absorbing cushioning web-wrapped midsole . streetwear shoe echo original look textured nubuck mesh upper . web overlay midsole add authentic oregon style .",1,0.21875,Positive
Women's adidas Originals Swift Run Shoes,EE4553,7599,4559,40,Adidas ORIGINALS,"The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability.",2.7,36,Adidas,"swift distills decade adidas heritage running design . made casual everyday wear , lightweight knit shoe come sleek shape supportive yet flexible feel . stand embroidered accent smooth welded detail . eva midsole add all-day wearability .",1,0.04999999999999996,Positive
Women's adidas Originals Continental Vulc Shoes,EF9315,6599,3959,40,Adidas ORIGINALS,These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.,4.2,35,Adidas,low-profile shoe come pastel color feminine touch . mix nubuck canvas upper add texture . suede toe cap abrasion-resistant look fresh new longer . vulcanized outsole make durable .,1,0.14545454545454545,Positive
Women's adidas Running Duramo 9 Shoes,F35281,5999,2999,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",2.6,97,Adidas,"woman 's neutral running shoe get road goal . sandwich mesh upper offer lightweight breathability , seamless print overlay add support stable stride . midsole offer pillow-soft cloudfoam cushioning eas every stride .",1,0.07500000000000001,Positive
Women's adidas Originals Supercourt Shoes,EF9220,7599,4559,40,Adidas ORIGINALS,"Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look.",3.1,62,Adidas,"forty year court style , refined essential . clean , simple line supple leather upper shoe nod tennis history . iconic perforated 3-stripes contrasting trefoil heel tab give timeless look .",1,0.21666666666666667,Positive
Men's adidas Sport Inspired Response Trail Shoes,EG0000,7999,3999,50,Adidas CORE / NEO,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",3.2,16,Adidas,"road turn trail , matter lie ahead . running shoe deliver plush ride confident grip fresh , sporty look . cloudfoam cushioning feel ultra-soft aggressive outsole grab direction . multilayer upper sleek 3-stripes elevate look get back town .",1,0.2,Positive
Women's adidas Running Cosmic 2 Shoes,B44889,5999,2999,50,Adidas CORE / NEO,"These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time.",3.1,69,Adidas,"woman 's running shoe breathable mesh upper keep foot ventilated daily run . cloudfoam midsole provides plush cushioning every stride , high-wear outsole hold time .",0,0.0,Neutral
Women's adidas Sport Inspired Storm Runner Shoes,CL7417,4599,2299,50,Adidas CORE / NEO,"A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long.",1.0,16,Adidas,"fast , lightweight adidas stormrunner shoe woman . running-inspired shoe comfortable daily routine . made textile upper cloudfoam midsole along rubber outsole shoe provide comfort foot day long .",1,0.13399999999999998,Positive
Women's adidas Sport Inspired Quickspike Shoes,CL7408,3999,1999,50,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",3.1,8,Adidas,"woman 's running-inspired shoe feature breathable mesh upper comfort collar , moulded overlay provides lightweight support . soft cloudfoam cushioning one-piece midsole outsole provides comfort last day long .",1,0.016666666666666666,Positive
WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,B43601,3299,1649,50,Adidas CORE / NEO,A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear.,2.7,62,Adidas,minimalist design maximum post-workout comfort . woman 's thong sandal feature soft strap connected cloudfoam footbed cushion every step dry quickly . durable rubber outsole add long-lasting wear .,1,0.21666666666666667,Positive
Women's adidas Sport Inspired Lite Racer Shoes,EE8245,4299,2149,50,Adidas CORE / NEO,Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth.,3.8,67,Adidas,unstoppable style . shoe borrow lightweight look feel celebrated runner . airy mesh upper clean finish monochrome 3-stripes . plush cushioning help keep ride smooth .,1,0.2791666666666667,Positive
Women's adidas Running Duramo 9 Shoes,EE8042,5599,2799,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",5.0,30,Adidas,"woman 's neutral running shoe get road goal . sandwich mesh upper offer lightweight breathability , seamless print overlay add support stable stride . midsole offer pillow-soft cloudfoam cushioning eas every stride .",1,0.07500000000000001,Positive
Women's adidas Sport Inspired Arcadeis Shoes,CL7429,4299,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,3.7,43,Adidas,woman 's running-inspired shoe cradle foot net mesh upper . pillow-soft cloudfoam cushioning one-piece midsole outsole provides comfort last day long .,1,-0.016666666666666666,Negative
Women's adidas Sport Inspired Videll Shoes,CL7370,3799,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.9,13,Adidas,extremely functional subtle running-inspired shoe woman . feature textile-mesh upper synthetic overlay . eva cushioning add extra comfort . running 3-stripes side along interesting all-over print upper add 's appeal .,1,0.0069444444444444475,Positive
Women's adidas Running EnergyFalcon X Shoes,EE9946,6599,3299,50,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",4.4,81,Adidas,"dig deep reach goal , running shoe offer support stability need . every step feel pillow-soft plush cushioning ortholiteâ® sockliner comfort . flowing tpu heel counter thin support cage keep foot centred stable . durable outsole made logging many mile .",1,0.033333333333333326,Positive
Women's adidas Sport Inspired Videll Shoes,CK9741,3799,1899,50,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.6,70,Adidas,extremely functional subtle running-inspired shoe woman . feature textile mesh upper synthetic overlay . eva cushioning add extra comfort . running 3-stripes side along interesting all-over print upper add 's appeal .,1,0.0069444444444444475,Positive
Women's adidas Running Hellion Z Shoes,CL7363,3299,1979,40,Adidas CORE / NEO,Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet.,2.7,46,Adidas,great everyday trainer runner go extra mile . adidas hellion z shoe come mesh upper providing lightweight breathability foot .,1,0.15000000000000002,Positive
Women's adidas Sport Inspired Videll Shoes,CL7372,3799,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.2,63,Adidas,extremely functional subtle running-inspired shoe woman . feature textile-mesh upper synthetic overlay . eva cushioning add extra comfort . running 3-stripes side along interesting all-over print upper add 's appeal .,1,0.0069444444444444475,Positive
Women's adidas Sport Inspired Arcadeis Shoes,CL7430,4299,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,4.9,95,Adidas,woman 's running-inspired shoe cradle foot net mesh upper . pillow-soft cloudfoam cushioning one-piece midsole outsole provides comfort last day long .,1,-0.016666666666666666,Negative
Women's adidas Sport Inspired Cloudfoam Pure Shoes,F34485,5599,3359,40,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,5.0,15,Adidas,woman 's running-inspired shoe cradle foot mesh upper memory foam footbed conforms shape foot . pillow-soft cloudfoam cushioning one-piece midsole outsole provides comfort last day long .,1,-0.025,Negative
Women's adidas Running Hellion Z Shoes,CL7365,3299,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.6,34,Adidas,"adidas hellion z running shoe woman new design pattern runner looking trendy yet extremely comfortable running shoe . excellent combination breathable mesh synthetic overlay upper make comfortable foot run . durable , non slippery , blown one piece super grip eva midsole rubber outsole ensures maximum stability grip ground .",1,0.4270995670995671,Positive
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7373,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",2.2,86,Adidas,"lightweight running-inspired shoe woman give round comfort , cushioning , durability & support simplistic design . mesh upper ensure breathability durability . lightstrike eva midsole give cushioning need everyday rubber outsole provides durability .",1,-0.22499999999999998,Negative
Women's adidas Running Hellion Z Shoes,CL7364,3299,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.9,3,Adidas,"adidas hellion z running shoe woman new design pattern runner looking trendy yet extremely comfortable running shoe . excellent combination breathable mesh synthetic overlay upper make comfortable foot run . durable , non slippery , blown one piece super grip eva midsole rubber outsole ensures maximum stability grip ground .",1,0.4270995670995671,Positive
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7374,3299,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3.4,67,Adidas,"lightweight running-inspired shoe woman give round comfort , cushioning , durability & support simplistic design . mesh upper ensure breathability durability . lightstrike eva midsole give cushioning need everyday rubber outsole provides durability .",1,-0.22499999999999998,Negative
Women's adidas Sport Inspired RunFalcon Shoes,EE8167,5599,3359,40,Adidas CORE / NEO,"Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support.",3.3,5,Adidas,"start clocking mile lightweight running shoe . treadmill street , add comfort step soft cushioning . supportive trainer airy material-mix upper midfoot cage extra support .",1,0.15,Positive
